,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Boston Celtics*,27.6,49.0,23.0,48,24,5.5,-0.47,5.02,88.0,83.6,4.4,124.8,0.333,,0.445,,0.387,,,0.245,,,,,,,Boston Garden,240943.0,
1,2.0,Syracuse Nationals*,26.6,41.0,31.0,41,31,2.18,0.0,2.18,89.9,88.1,1.8,119.1,0.357,,0.455,,0.385,,,0.283,,,,,,,Onondaga War Memorial,,
2,3.0,St. Louis Hawks*,28.0,41.0,31.0,39,33,1.32,-0.5,0.82,89.7,88.6,1.1,119.5,0.425,,0.455,,0.388,,,0.304,,,,,,,Kiel Auditorium,,
3,4.0,New York Knicks,25.1,35.0,37.0,39,33,1.21,0.14,1.35,91.7,90.8,0.9,121.5,0.418,,0.466,,0.395,,,0.315,,,,,,,Madison Square Garden (III),,
4,5.0,Philadelphia Warriors*,26.8,37.0,35.0,36,36,-0.13,0.33,0.21,88.3,88.4,-0.1,117.8,0.357,,0.446,,0.38,,,0.272,,,,,,,Philadelphia Civic Center,,
5,6.0,Cincinnati Royals*,25.7,33.0,39.0,33,39,-1.36,-0.12,-1.47,86.5,87.6,-1.1,117.3,0.323,,0.437,,0.384,,,0.23,,,,,,,Cincinnati Gardens,,
6,7.0,Detroit Pistons*,28.4,33.0,39.0,30,42,-2.35,0.02,-2.32,88.2,90.1,-1.9,118.8,0.38,,0.445,,0.376,,,0.287,,,,,,,Detroit Olympia,,
7,8.0,Minneapolis Lakers,25.9,19.0,53.0,22,50,-6.38,0.6,-5.78,88.0,93.3,-5.3,118.8,0.418,,0.444,,0.37,,,0.312,,,,,,,Minneapolis Auditorium,,
8,,League Average,26.7,,,36,36,0.0,0.0,0.0,88.8,88.8,,119.7,0.376,,0.449,,0.383,,,0.281,,,,,,,,240943.0,
