,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Houston Rockets*,82,19780,43.5,87.6,0.497,,,,43.5,87.6,0.497,21.6,27.2,0.792,14.7,29.3,43.9,26.9,7.4,3.3,17.6,23.4,108.7
1,2,Washington Bullets*,82,19780,43.5,89.7,0.485,,,,43.5,89.7,0.485,20.3,27.7,0.735,14.9,31.5,46.5,24.7,7.0,4.6,16.2,20.6,107.4
2,3,San Antonio Spurs*,82,19830,43.0,84.9,0.506,,,,43.0,84.9,0.506,21.1,26.5,0.795,12.0,28.7,40.7,25.3,9.1,5.6,18.1,22.7,107.1
3,4,San Diego Clippers,82,19730,42.6,88.2,0.483,,,,42.6,88.2,0.483,21.0,28.3,0.743,15.9,27.6,43.6,17.6,8.0,4.5,18.6,24.3,106.2
4,5,Los Angeles Lakers*,82,19780,43.8,84.7,0.517,,,,43.8,84.7,0.517,18.4,23.9,0.769,10.9,29.3,40.2,26.8,9.1,5.7,18.0,21.2,106.1
5,6,Milwaukee Bucks,82,19880,44.3,88.1,0.503,,,,44.3,88.1,0.503,17.5,22.9,0.762,13.1,26.9,40.0,29.0,9.8,4.9,17.8,23.9,106.0
6,7,Phoenix Suns*,82,19780,43.0,84.0,0.512,,,,43.0,84.0,0.512,19.7,25.7,0.768,12.1,26.6,38.7,27.9,10.2,3.8,19.7,21.7,105.7
7,8,Atlanta Hawks*,82,19855,41.3,87.4,0.473,,,,41.3,87.4,0.473,22.9,29.9,0.766,16.3,27.6,43.9,22.9,9.4,7.0,18.0,28.6,105.6
8,9,Kansas City Kings*,82,19855,42.4,86.1,0.492,,,,42.4,86.1,0.492,19.7,27.0,0.73,13.4,27.1,40.5,25.2,9.3,4.4,18.4,27.3,104.5
9,10,Denver Nuggets*,82,19705,40.5,84.1,0.481,,,,40.5,84.1,0.481,23.5,32.7,0.72,15.0,29.9,44.9,24.9,7.7,4.8,19.2,24.2,104.4
10,11,Portland Trail Blazers*,82,19780,41.5,86.1,0.483,,,,41.5,86.1,0.483,21.2,27.7,0.765,14.7,28.6,43.3,22.8,9.1,6.0,19.5,25.7,104.3
11,12,Cleveland Cavaliers,82,19680,42.2,90.3,0.468,,,,42.2,90.3,0.468,19.2,25.0,0.77,14.6,26.8,41.4,21.3,8.2,4.0,16.3,24.1,103.7
12,13,Indiana Pacers,82,19705,41.3,87.0,0.475,,,,41.3,87.0,0.475,20.3,26.8,0.759,14.2,29.3,43.4,23.2,7.9,4.8,17.8,24.2,103.0
13,14,Seattle SuperSonics*,82,19755,41.2,87.9,0.468,,,,41.2,87.9,0.468,20.4,27.0,0.754,15.4,30.4,45.8,23.2,8.1,4.7,18.6,22.5,102.7
14,15,Golden State Warriors,82,19780,43.1,88.5,0.487,,,,43.1,88.5,0.487,16.2,22.2,0.73,13.9,29.8,43.7,24.5,9.2,5.0,17.8,24.0,102.4
15,16,New York Knicks,82,19780,42.5,87.4,0.487,,,,42.5,87.4,0.487,17.1,24.4,0.7,13.9,28.1,42.0,24.5,8.1,4.6,18.6,24.9,102.2
16,17,Detroit Pistons,82,19780,42.0,88.3,0.475,,,,42.0,88.3,0.475,18.2,25.4,0.717,14.7,26.9,41.7,23.7,9.6,6.2,18.1,24.2,102.1
17,18,Philadelphia 76ers*,82,19805,40.7,83.3,0.488,,,,40.7,83.3,0.488,20.6,27.4,0.753,13.0,30.8,43.8,25.6,8.8,6.8,20.1,23.5,102.0
18,19,Boston Celtics,82,19680,40.4,84.2,0.48,,,,40.4,84.2,0.48,20.8,26.6,0.784,12.8,27.4,40.3,22.9,8.1,3.2,19.6,22.6,101.6
19,20,Chicago Bulls,82,19780,41.0,83.8,0.489,,,,41.0,83.8,0.489,19.2,25.8,0.747,14.4,30.0,44.4,25.6,6.8,3.8,21.4,23.2,101.3
20,21,New Orleans Jazz,82,19705,39.5,84.3,0.468,,,,39.5,84.3,0.468,20.7,27.0,0.767,13.8,30.0,43.9,23.3,8.5,6.3,19.8,21.8,99.6
21,22,New Jersey Nets*,82,19755,38.4,83.5,0.46,,,,38.4,83.5,0.46,21.1,29.0,0.729,13.8,26.3,40.1,21.2,9.5,6.9,20.6,25.8,98.0
