,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
0,1.0,Atlanta Hawks,82,19905,0.444,11.9,,0.823,0.269,0.158,0.181,0.214,0.177,,0.464,0.584,0.381,0.423,0.41,0.352,,0.543,0.856,,0.048,297,,0.202,647,,0.276,0.397,,9.0,0.0
1,2.0,Boston Celtics*,82,19830,0.415,13.8,,0.669,0.268,0.14,0.109,0.152,0.331,,0.455,0.618,0.319,0.346,0.371,0.334,,0.496,0.823,,0.034,204,,0.225,821,,0.23,0.343,,17.0,1.0
2,3.0,Chicago Bulls,82,19930,0.445,10.9,,0.852,0.324,0.169,0.148,0.211,0.148,,0.462,0.59,0.405,0.366,0.38,0.35,,0.562,0.848,,0.059,370,,0.243,829,,0.26,0.363,,7.0,0.0
3,4.0,Cleveland Cavaliers,82,19830,0.422,11.1,,0.867,0.303,0.159,0.188,0.216,0.133,,0.437,0.596,0.331,0.361,0.359,0.327,,0.572,0.853,,0.064,381,,0.2,700,,0.335,0.373,,21.0,0.0
4,5.0,Dallas Mavericks*,82,19780,0.453,13.2,,0.761,0.253,0.131,0.136,0.241,0.239,,0.475,0.622,0.416,0.408,0.391,0.381,,0.515,0.843,,0.032,211,,0.206,808,,0.242,0.372,,11.0,0.0
5,6.0,Denver Nuggets,82,19730,0.411,11.2,,0.874,0.297,0.171,0.135,0.272,0.126,,0.43,0.567,0.341,0.38,0.361,0.278,,0.629,0.825,,0.068,390,,0.199,644,,0.242,0.251,,8.0,0.0
6,7.0,Detroit Pistons*,82,19905,0.43,13.1,,0.763,0.264,0.135,0.145,0.219,0.237,,0.452,0.568,0.42,0.364,0.393,0.358,,0.553,0.792,,0.032,179,,0.212,700,,0.241,0.362,,10.0,1.0
7,8.0,Golden State Warriors,82,19755,0.441,11.6,,0.822,0.271,0.207,0.123,0.222,0.178,,0.462,0.638,0.361,0.405,0.373,0.344,,0.517,0.819,,0.046,300,,0.191,794,,0.217,0.336,,11.0,0.0
8,9.0,Houston Rockets,82,19930,0.44,12.1,,0.804,0.305,0.145,0.126,0.229,0.196,,0.462,0.605,0.38,0.366,0.376,0.346,,0.466,0.879,,0.065,381,,0.223,754,,0.24,0.342,,20.0,1.0
