,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,Seed
0,Los Angeles Lakers*,63,19,.768,—,110.7,103.9,6.74,West,8
1,Detroit Pistons*,59,23,.720,—,104.3,98.3,5.41,East,7
2,Portland Trail Blazers*,59,23,.720,4.0,114.2,107.9,6.48,West,9
3,San Antonio Spurs*,56,26,.683,—,106.3,102.8,3.58,West,1
4,Utah Jazz*,55,27,.671,1.0,106.8,102.0,4.82,West,2
5,Chicago Bulls*,55,27,.671,4.0,109.5,106.2,2.74,East,8
6,Phoenix Suns*,54,28,.659,9.0,114.9,107.8,7.09,West,10
7,Philadelphia 76ers*,53,29,.646,—,110.2,105.2,4.23,East,1
8,Boston Celtics*,52,30,.634,1.0,110.0,106.0,3.23,East,2
9,Dallas Mavericks*,47,35,.573,9.0,102.2,102.2,0.42,West,3
10,New York Knicks*,45,37,.549,8.0,108.3,106.9,0.78,East,3
11,Milwaukee Bucks*,44,38,.537,15.0,106.0,106.8,-1.06,East,9
12,Denver Nuggets*,43,39,.524,13.0,114.6,113.2,1.56,West,4
13,Cleveland Cavaliers*,42,40,.512,17.0,102.6,102.9,-0.62,East,10
14,Indiana Pacers*,42,40,.512,17.0,109.3,109.1,-0.18,East,11
15,Houston Rockets*,41,41,.500,15.0,106.7,105.3,1.71,West,5
16,Seattle SuperSonics,41,41,.500,22.0,106.9,105.9,1.40,West,11
17,Atlanta Hawks,41,41,.500,18.0,108.5,107.5,0.64,East,12
18,Golden State Warriors,37,45,.451,26.0,116.3,119.4,-2.55,West,12
19,Washington Bullets,31,51,.378,22.0,107.7,109.9,-2.43,East,4
20,Los Angeles Clippers,30,52,.366,33.0,103.8,107.2,-2.80,West,13
21,Sacramento Kings,23,59,.280,40.0,101.7,106.8,-4.41,West,14
22,Minnesota Timberwolves,22,60,.268,34.0,95.2,99.4,-3.60,West,6
23,Charlotte Hornets,19,63,.232,37.0,100.4,108.2,-7.00,West,7
24,Miami Heat,18,64,.220,35.0,100.6,110.3,-9.59,East,5
25,Orlando Magic,18,64,.220,41.0,110.9,119.8,-8.73,East,13
26,New Jersey Nets,17,65,.207,36.0,100.1,108.0,-7.82,East,6
