,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Fort Wayne Pistons*,27.1,43.0,29.0,43.0,29.0,2.39,-0.38,2.01,91.2,88.9,2.3,100.7,0.453,,0.464,,0.39,,,0.332,,,,,,,War Memorial Coliseum,,
1,2.0,Syracuse Nationals*,26.2,43.0,29.0,40.0,32.0,1.39,-0.16,1.23,87.5,86.2,1.3,103.6,0.386,,0.442,,0.372,,,0.29,,,,,,,Onondaga War Memorial,,
2,3.0,Minneapolis Lakers*,26.8,40.0,32.0,39.0,33.0,1.17,-0.21,0.96,89.7,88.6,1.1,105.5,0.389,,0.455,,0.388,,,0.29,,,,,,,Minneapolis Auditorium,,
3,4.0,New York Knicks*,27.1,38.0,34.0,36.0,36.0,0.08,0.03,0.11,90.2,90.1,0.1,101.8,0.422,,0.458,,0.389,,,0.307,,,,,,,Madison Square Garden (III),,
4,5.0,Boston Celtics*,26.7,36.0,36.0,36.0,36.0,-0.06,0.05,-0.03,93.0,93.0,0.0,108.6,0.414,,0.473,,0.399,,,0.321,,,,,,,Boston Garden,175675.0,
5,6.0,Philadelphia Warriors,25.2,33.0,39.0,35.0,37.0,-0.26,0.08,-0.19,89.6,89.9,-0.3,102.9,0.421,,0.454,,0.384,,,0.309,,,,,,,Philadelphia Civic Center,,
6,7.0,Rochester Royals*,29.0,29.0,43.0,32.0,40.0,-1.63,0.19,-1.43,90.7,92.3,-1.6,99.5,0.402,,0.461,,0.399,,,0.289,,,,,,,Edgerton Park Arena,,
7,8.0,Milwaukee Hawks,25.9,26.0,46.0,28.0,44.0,-3.04,0.4,-2.66,86.4,89.4,-3.0,100.5,0.442,,0.436,,0.362,,,0.317,,,,,,,Milwaukee Arena,,
8,9.0,Baltimore Bullets,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,League Average,26.5,,,36.0,36.0,0.01,0.0,0.0,89.8,89.8,,102.9,0.416,,0.455,,,,,0.307,,,,,,,,175675.0,
