,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
,Rk,Team,G,MP,FG%,Dist.,Unnamed: 6_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 20_level_1,2P,3P,Unnamed: 23_level_1,%FGA,Md.,Unnamed: 26_level_1,%FGA,Md.,Unnamed: 29_level_1,%3PA,3P%,Unnamed: 32_level_1,Att.,Md.
0,1.0,Atlanta Hawks,82,19780,0.439,11.1,,0.819,0.328,0.153,0.146,0.193,0.181,,0.458,0.583,0.349,0.363,0.4,0.354,,0.525,0.839,,0.054,313,,0.245,851,,0.255,0.354,,5.0,0.0
1,2.0,Boston Celtics*,82,19830,0.424,13.3,,0.711,0.293,0.124,0.111,0.182,0.289,,0.45,0.581,0.324,0.351,0.385,0.359,,0.512,0.886,,0.032,204,,0.255,892,,0.213,0.33,,15.0,2.0
2,3.0,Charlotte Hornets*,82,19755,0.44,11.6,,0.849,0.308,0.131,0.162,0.248,0.151,,0.456,0.577,0.402,0.363,0.395,0.348,,0.58,0.812,,0.049,292,,0.234,802,,0.153,0.408,,8.0,0.0
3,4.0,Chicago Bulls,82,19805,0.433,12.0,,0.866,0.295,0.111,0.161,0.299,0.134,,0.447,0.562,0.343,0.405,0.393,0.346,,0.617,0.89,,0.05,293,,0.229,733,,0.189,0.305,,7.0,0.0
4,5.0,Cleveland Cavaliers,82,19855,0.448,12.4,,0.844,0.255,0.141,0.206,0.242,0.156,,0.461,0.58,0.391,0.425,0.407,0.377,,0.601,0.91,,0.046,266,,0.183,620,,0.238,0.43,,20.0,1.0
5,6.0,Dallas Mavericks*,82,19880,0.462,12.8,,0.763,0.281,0.121,0.146,0.214,0.237,,0.488,0.607,0.404,0.411,0.431,0.378,,0.51,0.799,,0.037,232,,0.228,872,,0.16,0.436,,9.0,0.0
6,7.0,Denver Nuggets,82,19805,0.424,12.0,,0.813,0.3,0.147,0.121,0.245,0.187,,0.446,0.583,0.36,0.397,0.355,0.329,,0.586,0.842,,0.038,228,,0.229,871,,0.306,0.344,,17.0,0.0
7,8.0,Detroit Pistons*,82,19680,0.452,12.7,,0.76,0.283,0.124,0.146,0.207,0.24,,0.475,0.613,0.42,0.356,0.404,0.376,,0.555,0.884,,0.048,270,,0.214,757,,0.306,0.398,,6.0,1.0
8,9.0,Golden State Warriors,82,19780,0.429,10.6,,0.858,0.297,0.235,0.111,0.215,0.142,,0.447,0.64,0.326,0.372,0.351,0.322,,0.532,0.881,,0.04,254,,0.227,975,,0.193,0.359,,15.0,1.0
