,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Dallas Mavericks*,82,19880,41.6,90.1,0.462,8.1,21.4,0.378,33.5,68.7,0.488,20.9,25.9,0.806,11.9,33.4,45.3,23.6,7.6,5.1,12.9,24.0,112.2
1,2,Los Angeles Lakers*,82,19780,41.5,90.1,0.461,6.7,19.0,0.354,34.8,71.2,0.489,19.7,28.2,0.699,13.5,34.3,47.8,24.8,8.2,6.3,13.7,24.0,109.4
2,3,Minnesota Timberwolves*,82,19805,42.5,92.2,0.461,5.3,14.0,0.378,37.2,78.2,0.476,18.7,23.5,0.798,14.2,34.3,48.5,26.7,7.0,5.7,14.7,23.3,109.0
3,4,Sacramento Kings*,82,19755,41.5,89.0,0.467,5.4,14.7,0.367,36.1,74.3,0.486,20.6,27.4,0.751,12.9,34.3,47.2,24.9,9.4,4.8,14.3,19.8,109.0
4,5,Seattle SuperSonics*,82,19830,42.6,90.8,0.469,6.6,17.6,0.378,35.9,73.3,0.49,17.2,22.7,0.755,13.2,31.7,44.9,26.2,9.5,4.9,15.3,23.5,108.9
5,6,Portland Trail Blazers*,82,19830,40.7,90.4,0.45,6.3,17.9,0.354,34.4,72.5,0.474,19.7,25.8,0.763,14.7,33.1,47.8,26.1,9.5,5.0,15.9,21.8,107.4
6,7,Orlando Magic*,82,19830,40.1,89.5,0.448,8.1,21.6,0.373,32.0,68.0,0.471,18.8,24.9,0.754,12.2,31.7,43.9,23.4,8.6,5.0,14.5,22.1,107.0
7,8,Milwaukee Bucks,82,19905,40.6,87.9,0.462,7.9,21.2,0.375,32.7,66.7,0.49,17.7,23.6,0.748,11.2,34.2,45.4,24.7,8.0,5.2,15.5,23.9,106.9
8,9,San Antonio Spurs*,82,19855,39.1,85.4,0.458,5.9,16.3,0.362,33.2,69.2,0.48,22.4,30.2,0.742,12.2,34.5,46.6,22.1,8.4,7.2,15.8,21.1,106.5
9,10,Utah Jazz*,82,19830,38.5,85.5,0.45,3.8,11.3,0.333,34.7,74.2,0.468,24.8,32.6,0.763,14.9,31.5,46.4,26.8,10.0,7.0,18.1,26.4,105.6
